"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C4,C7,C8,C9,C10,C11,C14";"C_0805_HandSoldering";8;"100n";;;
2;"C2,C3";"C_0805_HandSoldering";2;"1u";;;
3;"P1";"CONN_RM5,08_2PIN";1;"CONN_01X02";;;
4;"P4";"CONN_RM5,08_3PIN";1;"CONN_01X03";;;
5;"P6";"MINI USB 2.0 SMD";1;"USB_OTG";;;
6;"R1,R4,R5";"R_0805_HandSoldering";3;"10k";;;
7;"R2,R3";"R_0805_HandSoldering";2;"27";;;
8;"U1";"SOT-223";1;"MCP1825S";;;
9;"U2";"LQFP48";1;"STM32F072CB";;;
10;"U3";"SOT353-1";1;"74HCT1G08GW-Q100";;;
11;"Y1";"Quarz_SMD";1;"Crystal_Small";;;
12;"JP1,JP2";"PIN_HEADER_01x02";2;"Jumper_NO_Small";;;
13;"P2";"PIN_HEADER_01x05";1;"CONN_01X05";;;
14;"P3";"PIN_HEADER_02x04";1;"CONN_02X04";;;
15;"C13,C15";"c_elec_6.3x5.7";2;"100u";;;
16;"SW1,SW2";"Kurzhubtaster_SMD";2;"SW_PUSH";;;
17;"R6,R7";"R_0805_HandSoldering";2;"1k";;;
18;"D1,D2";"LED_0805";2;"LED";;;
19;"C5,C6";"C_0603_HandSoldering";2;"16p";;;
20;"P5";"PIN_HEADER_01x04";1;"CONN_01X04";;;
21;"R8";"R_0805_HandSoldering";1;"15k";;;
22;"R9";"R_0805_HandSoldering";1;"22k";;;
